dataset_id,display_name,downloaded,converted_to_spatialdata,uploaded_to_lamin,notes
6k_release,6k Release,,,,
LN28_6k,LN28 6k,,,,
brain,Brain,,,,
cosmx-wtx,Cosmx Wtx,,,,
cosmx_colon_pdr_wtx,Cosmx Colon Pdr Wtx,,,,
liver,Liver,,,,
misc,Misc,,,,
mouse_brain,Mouse Brain,,,,
multiomic_breast,Multiomic Breast,,,,
protein_tonsil_25,Protein Tonsil 25,,,,
wtx_manuscript,Wtx Manuscript,,,,
wtx_manuscript/37CPA_rep_1,37CPA Rep 1,,,,
wtx_manuscript/37CPA_rep_2,37CPA Rep 2,,,,
wtx_manuscript/37CPA_rep_3,37CPA Rep 3,,,,
wtx_manuscript/brain_hippocampus,Brain Hippocampus,,,,
wtx_manuscript/breast_discovery,Breast Discovery,,,,
wtx_manuscript/colon_discovery,Colon Discovery,,,,
wtx_manuscript/kidney_discovery,Kidney Discovery,,,,
wtx_manuscript/pancreas_discovery,Pancreas Discovery,,,,
wtx_manuscript/skin_scc,Skin Scc,,,,
