Dataset Url,Replicate,local_uid,Software,lamin_link
https://10xgenomics.com/datasets/adult-mouse-brain-coronal-section-fresh-frozen-1-standard,Sample 1,10ckr,Space Ranger v2.1.0,C2VMt4jeJgOzqGlB0000
https://10xgenomics.com/datasets/adult-mouse-brain-coronal-section-fresh-frozen-1-standard,Sample 2,10w6u,Space Ranger v2.1.0,7NuCvtep7c7GHlSS0000
https://10xgenomics.com/datasets/ffpe-human-breast-using-the-entire-sample-area-1-standard,Replicate 2,10xay,Xenium Onboard Analysis v1.0.2,T487SAgKYyOrMyV60000
https://10xgenomics.com/datasets/ffpe-human-breast-using-the-entire-sample-area-1-standard,Replicate 1,101tu,Xenium Onboard Analysis v1.0.2,zajoOzpDkgbj7iQJ0000
https://10xgenomics.com/datasets/ffpe-human-breast-with-custom-add-on-panel-1-standard,"Tissue sample 2, Custom Panel",10pf0,Xenium Onboard Analysis v1.0.2,Uj7J4jjgzHw0lcm80000
https://10xgenomics.com/datasets/ffpe-human-breast-with-custom-add-on-panel-1-standard,"Tissue sample 2, Custom Panel",10pf0,Xenium Onboard Analysis v1.0.2,Uj7J4jjgzHw0lcm80001
https://10xgenomics.com/datasets/ffpe-human-breast-with-custom-add-on-panel-1-standard,"Tissue sample 1, Custom Panel",101x5,Xenium Onboard Analysis v1.0.2,1lNcghy5uvSIIj1X0000
https://10xgenomics.com/datasets/ffpe-human-breast-with-custom-add-on-panel-1-standard,"Tissue sample 1, Custom Panel",101x5,Xenium Onboard Analysis v1.0.2,1lNcghy5uvSIIj1X0001
https://10xgenomics.com/datasets/fresh-frozen-mouse-brain-for-xenium-explorer-demo-1-standard,Tiny subset,104cz,Xenium Onboard Analysis v1.0.2,ESKVT21S8DJa2Edm0000
https://10xgenomics.com/datasets/fresh-frozen-mouse-brain-for-xenium-explorer-demo-1-standard,Full coronal section,10y80,Xenium Onboard Analysis v1.0.2,XfxFFvRbWX0pkwxQ0000
https://10xgenomics.com/datasets/fresh-frozen-mouse-brain-replicates-1-standard,Replicate 3,108h0,Xenium Onboard Analysis v1.0.2,URTWN6lHhU092S8N0000
https://10xgenomics.com/datasets/fresh-frozen-mouse-brain-replicates-1-standard,Replicate 2,10c6u,Xenium Onboard Analysis v1.0.2,itocrVLFWg5Rz08t0000
https://10xgenomics.com/datasets/fresh-frozen-mouse-brain-replicates-1-standard,Replicate 1,10x88,Xenium Onboard Analysis v1.0.2,hMhdL5in9tFAKkjF0000
https://10xgenomics.com/datasets/human-bone-and-bone-marrow-data-with-custom-add-on-panel-1-standard,Non-diseased Femur Bone,10pui,Xenium Onboard Analysis v1.9.0,TiO5kXpiBniJVXbV0000
